distance ,density1,density2,density3
-9.85,0.155102,0.122449,0.0852041
-9.75,0.132653,0.115306,0.119388
-9.65,0.15,0.119388,0.0806122
-9.55,0.15,0.123469,0.12398
-9.45,0.153571,0.103571,0.180612
-9.35,0.187755,0.127041,0.207653
-9.25,0.132143,0.119898,0.142347
-9.15,0.154592,0.0933673,0.0989796
-9.05,0.12602,0.141837,0.162755
-8.95,0.164796,0.139286,0.109184
-8.85,0.132143,0.161224,0.120918
-8.75,0.0836735,0.179592,0.157143
-8.65,0.0734694,0.220408,0.158163
-8.55,0.103571,0.145408,0.17602
-8.45,0.0903061,0.15102,0.139796
-8.35,0.130102,0.0918367,0.104592
-8.25,0.0857143,0.110714,0.145918
-8.15,0.129082,0.111735,0.142347
-8.05,0.10102,0.160714,0.165306
-7.95,0.106633,0.147959,0.196429
-7.85,0.152551,0.122449,0.169388
-7.75,0.165816,0.110204,0.120408
-7.65,0.203061,0.145918,0.140816
-7.55,0.212245,0.140816,0.139286
-7.45,0.141327,0.0882653,0.113776
-7.35,0.104082,0.130102,0.138776
-7.25,0.0760204,0.176531,0.127041
-7.15,0.110714,0.0826531,0.207653
-7.05,0.147449,0.134694,0.132143
-6.95,0.256633,0.0984694,0.120918
-6.85,0.14949,0.128061,0.118367
-6.75,0.145408,0.161224,0.097449
-6.65,0.110714,0.162245,0.133673
-6.55,0.104082,0.295408,0.0928571
-6.45,0.116837,0.190816,0.0872449
-6.35,0.163265,0.194898,0.0841837
-6.25,0.17449,0.163265,0.112245
-6.15,0.0760204,0.129592,0.187245
-6.05,0.110714,0.0933673,0.188776
-5.95,0.0908163,0.109694,0.143878
-5.85,0.0923469,0.118878,0.147959
-5.75,0.132653,0.12398,0.189286
-5.65,0.129592,0.127551,0.264286
-5.55,0.1,0.118878,0.214796
-5.45,0.147959,0.101531,0.209184
-5.35,0.177041,0.121429,0.178571
-5.25,0.196429,0.15051,0.080102
-5.15,0.166837,0.119388,0.0556122
-5.05,0.15102,0.140306,0.0877551
-4.95,0.109694,0.120408,0.113265
-4.85,0.0760204,0.0647959,0.105102
-4.75,0.0841837,0.0816327,0.110204
-4.65,0.167347,0.113776,0.0647959
-4.55,0.108163,0.0938776,0.0857143
-4.45,0.164796,0.12398,0.110714
-4.35,0.118878,0.167347,0.0811224
-4.25,0.113265,0.130102,0.210204
-4.15,0.104592,0.123469,0.133673
-4.05,0.109184,0.156633,0.128061
-3.95,0.0765306,0.133163,0.190306
-3.85,0.1,0.235714,0.135204
-3.75,0.0969388,0.152041,0.0734694
-3.65,0.115816,0.119898,0.0566327
-3.55,0.164796,0.138776,0.0897959
-3.45,0.166837,0.0673469,0.0591837
-3.35,0.103061,0.0591837,0.116837
-3.25,0.151531,0.0780612,0.0811224
-3.15,0.15051,0.0897959,0.114796
-3.05,0.157653,0.0918367,0.140306
-2.95,0.12449,0.0729592,0.242857
-2.85,0.10051,0.0897959,0.184184
-2.75,0.166327,0.146429,0.139286
-2.65,0.161224,0.077551,0.10102
-2.55,0.1,0.0770408,0.192347
-2.45,0.127551,0.120408,0.119898
-2.35,0.108163,0.165306,0.145408
-2.25,0.104592,0.0984694,0.112245
-2.15,0.102041,0.0989796,0.170408
